phrase	raw_frequency	dp1	dp2	logDice	label	compound-nn	compound-adj
erstgeboren Sohn	862	0,006371774	0,621243559	7,691808809	collocation	0	0
neuapostolisch Kirche	2393	0,007916137	0,620019679	8,002102196	term	0	1
Napoleonisch Krieg	459	0,003400723	0,619579747	6,79277828	ne	0	0
eineiig Zwilling	932	0,177622362	0,618835741	12,1428733	term	0	0
zweischneidig Schwert	1117	0,09971969	0,617757946	11,45819102	idiom	0	1
naturgegeben Recht	1511	0,010062276	0,61647548	8,342450408	collocation	0	1
asiatisch-pazifisch Raum	459	0,001777975	0,616443429	5,861485583	term	0	1
südchinesisch Meer	1207	0,025159244	0,61432197	9,62956178	ne	0	1
gestrichelt Linie	743	0,003840098	0,613568236	6,967266398	collocation	0	0
behandelnd Arzt	7580	0,111122361	0,612610149	11,59011653	term	0	0
steuerbegünstigt Zweck	1240	0,016333043	0,612264781	9,026325776	term	0	1
umgestürzt Baum	1214	0,020080746	0,611282711	9,31562397	collocation	0	0
griechisch-katholisch Kirche	1199	0,003966174	0,609877864	7,01405127	term	0	1
altenburg Land	802	0,00181814	0,608556895	5,894470251	ne	0	0
siebenjährig Krieg	5506	0,040793032	0,608540945	10,29156059	term	0	1
weimar Republik	8893	0,09850571	0,60723502	11,43997812	ne	0	0
gymnastisch Übung	417	0,009982811	0,606774543	8,330324686	collocation	0	0
urkundlich Erwähnung	11881	0,260462979	0,606526459	12,54398346	collocation	0	0
gütlich Einigung	888	0,112959754	0,605281162	11,60706379	term	0	0
nachehelich Unterhalt	707	0,174006965	0,603225085	12,11159258	term	0	0
kochend Wasser	3513	0,028745271	0,602895194	9,81290647	collocation	0	0
gangbar Weg	1176	0,003819596	0,602743	6,960031864	idiom	0	0
lüneburger Heide	4713	0,432250391	0,602653631	13,00990597	ne	0	0
durchschlagend Erfolg	1604	0,006960704	0,600701869	7,817977234	collocation	0	0
ausdauernd Pflanze	2749	0,038298874	0,600651256	10,20465302	collocation	0	0
serbisch-orthodox Kirche	775	0,002563518	0,600161023	6,387685555	ne	0	1
bernauer Straße	450	0,002075373	0,599690634	6,083675967	ne	0	0
treptower Park	505	0,019102448	0,598917844	9,244742217	ne	0	0
allgemeinbildend Schule	2590	0,014074225	0,598328387	8,816599326	term	0	1
unbefleckt Empfängnis	1474	0,797613917	0,596035281	13,44837129	term	0	0
christlichsozial Partei	648	0,003137354	0,595079494	6,677223347	term	0	1
darstellend Kunst	4051	0,038095988	0,593724547	10,19664439	collocation	0	0
eheähnlich Gemeinschaft	789	0,013166081	0,591594324	8,721529931	term	0	1
israelisch-palästinensisch Konflikt	667	0,012371221	0,587910006	8,633376314	term	0	1
lockig Haar	510	0,006845994	0,585827028	7,793110134	collocation	0	0
gebückt Haltung	410	0,00757889	0,585438616	7,937934113	collocation	0	0
zusammenlebend Paar	411	0,00754185	0,582701015	7,930875319	collocation	0	1
gymnasial Oberstufe	3263	0,696466104	0,582359286	13,34330834	term	1	0
jäh Ende	1609	0,014079322	0,581970467	8,815861261	collocation	0	0
grüne Jugend	461	0,013725074	0,581900597	8,779508879	error	0	
kerntechnisch Anlage	718	0,006618094	0,581294383	7,74488593	term	0	1
ausweglos Situation	1087	0,005698519	0,580932403	7,531749727	collocation	0	0
kovalent Bindung	434	0,017508978	0,580088844	9,121475796	term	0	0
kurisch Nehrung	471	0,43250512	0,577910937	12,98476549	ne	0	0
